repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,fundamental_ml_dependencies,cross_module_calls,coupling_score,cohesion_score,modularity_score,complexity_score,dependency_depth,max_inheritance_depth,registry_pattern_usage,has_config_system,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
dmlc/dgl,https://github.com/dmlc/dgl,2676,1215,0,662,80,44412,0.35,1.0,0.439,0.752,1,2,129,True,45.17,19.87,406,1386,9545,success,
HiLab-git/SSL4MIS,https://github.com/HiLab-git/SSL4MIS,143,66,0,57,27,3620,0.327,1.0,0.344,0.768,1,2,21,True,46.17,26.32,156,123,577,success,
Lightning-Universe/lightning-transformers,https://github.com/Lightning-Universe/lightning-transformers,262,95,60,19,12,688,0.227,1.0,0.526,0.633,1,1,0,True,59.84,4.62,46,42,286,success,
facebookresearch/detr,https://github.com/facebookresearch/detr,96,28,10,44,15,1069,0.181,1.0,0.538,0.756,1,1,11,True,58.59,21.14,84,49,232,success,
NVIDIA-Merlin/Transformers4Rec,https://github.com/NVIDIA-Merlin/Transformers4Rec,349,119,25,85,20,2241,0.163,1.0,0.519,0.74,1,3,45,True,51.48,16.33,205,163,729,success,
NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,2500,799,42,698,75,24395,0.296,1.0,0.436,0.771,1,4,143,True,42.47,28.24,515,988,6481,success,
adap/flower,https://github.com/adap/flower,3554,1112,0,755,62,19376,0.246,1.0,0.507,0.708,1,3,40,True,49.69,10.29,122,746,5452,success,
facebookincubator/AITemplate,https://github.com/facebookincubator/AITemplate,1501,1063,0,515,27,21885,0.206,1.0,0.549,0.732,1,1,1531,True,54.56,14.42,306,966,6754,success,
facebookresearch/DiT,https://github.com/facebookresearch/DiT,65,10,2,13,7,408,0.22,0.91,0.438,0.754,1,1,0,False,64.72,20.3,73,15,97,success,
facebookresearch/xformers,https://github.com/facebookresearch/xformers,1219,150,44,87,32,5531,0.308,1.0,0.454,0.772,1,2,53,True,46.51,28.68,287,234,1570,success,
apple/coremltools,https://github.com/apple/coremltools,4631,789,231,279,85,26264,0.172,1.0,0.55,0.791,1,8,1467,True,46.73,42.58,1635,2347,13247,success,
speedinghzl/pytorch-segmentation-toolbox,https://github.com/speedinghzl/pytorch-segmentation-toolbox,95,20,6,13,19,493,0.159,0.95,0.46,0.737,1,1,0,False,67.91,15.53,43,29,110,success,
NVIDIA/semantic-segmentation,https://github.com/NVIDIA/semantic-segmentation,114,44,15,19,28,1514,0.256,1.0,0.441,0.77,1,1,4,True,54.4,27.21,103,99,433,success,
qubvel-org/segmentation_models.pytorch,https://github.com/qubvel-org/segmentation_models.pytorch,255,131,12,79,12,2178,0.268,1.0,0.582,0.71,1,2,0,False,66.85,10.58,74,208,612,success,
CSAILVision/semantic-segmentation-pytorch,https://github.com/CSAILVision/semantic-segmentation-pytorch,124,37,6,21,15,925,0.172,1.0,0.565,0.74,1,1,3,True,60.56,16.34,90,56,223,success,
apple/ml-cvnets,https://github.com/apple/ml-cvnets,747,392,207,39,22,5930,0.355,1.0,0.418,0.717,1,2,220,True,45.03,11.57,225,317,1657,success,
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,637,453,46,46,33,15124,0.672,1.0,0.264,0.774,1,2,1434,True,30.84,29.5,459,832,6647,success,
huggingface/transformers,https://github.com/huggingface/transformers,6338,3858,10,2630,488,174729,0.285,1.0,0.494,0.786,1,5,304,True,42.03,38.19,1015,12792,49911,success,
huggingface/datasets,https://github.com/huggingface/datasets,428,208,0,157,89,7854,0.156,1.0,0.403,0.795,1,3,20,True,50.46,47.84,861,367,3431,success,
NVIDIA-NeMo/NeMo,https://github.com/NVIDIA-NeMo/NeMo,4440,2428,1157,692,112,67848,0.286,1.0,0.482,0.763,1,5,208,True,42.04,24.01,393,3484,19770,success,
microsoft/LMOps,https://github.com/microsoft/LMOps,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,error,Failed to clone repository
microsoft/torchscale,https://github.com/microsoft/torchscale,145,68,19,65,12,1803,0.216,1.0,0.571,0.748,1,2,60,True,52.57,18.54,157,87,446,success,
bytedance/neurst,https://github.com/bytedance/neurst,459,240,123,30,22,5000,0.302,1.0,0.487,0.752,1,2,184,True,47.81,19.86,162,181,1225,success,
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,1151,654,343,159,50,13930,0.243,1.0,0.429,0.751,1,3,616,True,46.19,19.42,322,1114,5650,success,
PaddlePaddle/ERNIE,https://github.com/PaddlePaddle/ERNIE,707,247,11,324,7,9777,0.154,1.0,0.501,0.789,1,5,12,True,49.87,40.97,433,377,2277,success,
open-compass/opencompass,https://github.com/open-compass/opencompass,3618,2734,686,1278,30,19319,0.188,1.0,0.689,0.648,1,1,625,True,59.86,5.31,226,914,3543,success,
openai/evals,https://github.com/openai/evals,4030,344,148,84,20,6481,0.259,1.0,0.488,0.729,1,2,21,True,52.37,13.82,207,362,1927,success,
Farama-Foundation/Gymnasium,https://github.com/Farama-Foundation/Gymnasium,819,256,9,26,107,5327,0.404,1.0,0.418,0.745,1,3,157,False,51.18,17.45,166,246,1753,success,
google/fuzzbench,https://github.com/google/fuzzbench,840,190,15,31,7,3770,0.432,1.0,0.444,0.734,1,2,54,True,43.15,14.75,99,58,1277,success,
foundation-model-stack/foundation-model-stack,https://github.com/foundation-model-stack/foundation-model-stack,273,127,65,33,25,3453,0.342,1.0,0.437,0.756,1,7,14,True,42.92,21.3,140,240,1020,success,
vturrisi/solo-learn,https://github.com/vturrisi/solo-learn,472,148,66,52,17,2475,0.338,1.0,0.528,0.691,1,1,27,True,53.01,8.33,68,84,526,success,
wntic/segmentation-robustness-framework,https://github.com/wntic/segmentation-robustness-framework,222,93,39,51,10,1641,0.2,0.666,0.551,0.744,1,2,68,True,47.62,17.16,133,90,948,success,
ruescog/semantic_segmentation_augmentations,https://github.com/ruescog/semantic_segmentation_augmentations,148,24,0,25,3,190,0.358,1.0,0.379,0.617,1,1,0,True,52.47,4.0,9,19,41,success,
SegmentationBLWX/sssegmentation,https://github.com/SegmentationBLWX/sssegmentation,1146,833,16,222,23,9158,0.471,1.0,0.615,0.628,1,1,1,True,54.74,4.41,258,362,1224,success,
SegmentationBLWX/cssegmentation,https://github.com/SegmentationBLWX/cssegmentation,243,118,2,65,14,1396,0.208,1.0,0.656,0.659,1,1,1,True,63.18,5.93,89,76,242,success,
pytorch/serve,https://github.com/pytorch/serve,2286,416,66,225,37,7662,0.224,1.0,0.498,0.71,1,2,77,True,51.06,10.59,87,273,1952,success,
frankkramer-lab/MIScnn,https://github.com/frankkramer-lab/MIScnn,157,70,46,14,14,1237,0.261,1.0,0.602,0.745,1,1,2,False,68.84,17.67,87,48,495,success,
keras-team/keras,https://github.com/keras-team/keras,1221,918,3,36,482,25779,0.356,1.0,0.511,0.775,1,3,115,True,44.47,30.39,1091,1578,12713,success,
BVLC/caffe,https://github.com/BVLC/caffe,816,38,0,31,6,1042,0.2,0.989,0.528,0.785,1,1,0,False,68.26,37.7,743,45,334,success,
Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,error,Failed to clone repository
pdollar/toolbox,https://github.com/pdollar/toolbox,754,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,no_python_files,No Python files found in repository
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,1019,497,107,360,45,11395,0.238,1.0,0.461,0.734,1,2,181,True,49.38,14.72,219,583,2897,success,
facebookresearch/ClassyVision,https://github.com/facebookresearch/ClassyVision,441,217,52,127,22,4080,0.206,1.0,0.499,0.726,1,2,203,True,51.39,13.14,186,366,1452,success,
pytorch/pytorch,https://github.com/pytorch/pytorch,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0,0,error,Failed to clone repository
